Name,Shares
CSH_USD,3232223.9999999995
ERJ,1220246.0
WMT,1127542.0
HPE,1093443.0
PLTR,1037503.0
CYH,-1020950.0
KMI,921264.0
GOOGL,858411.0
WBD,-791673.0
WTTR,725822.9999999999
PRMW,-518063.0
HBI,-491739.0
NTNX,471375.0
UBER,386084.0
NKE,384020.0
AMRX,-351095.0
MRO,304573.0
OSW,296116.0
NEE,294482.0
ILMN,-293924.0
BLBD,283219.0
TFC,270909.0
AHCO,-263943.0
CRM,261475.0
ENR,-260145.0
NMRK,-248131.0
VTRS,247491.0
BBY,241682.0
GME,226724.0
BRK/B,225897.0
HD,221757.0
CNC,221624.0
JNJ,219631.0
MD,-203607.0
RTX,201490.0
V,201046.0
ACN,198071.0
AMD,195659.0
WBA,188517.0
PG,187905.0
WES,183562.0
TER,173676.00000000003
GRND,-173467.0
TTWO,-170546.0
PRKS,-160712.0
GOGL,-159530.0
TASK,-152328.99999999997
STGW,-148312.0
CVS,137157.0
LYB,136222.0
GEHC,-133739.0
SNX,132677.0
CCEP,-126227.0
GLW,121640.0
CEG,-121473.0
KLAC,113344.0
PEGA,112159.0
ORCL,111888.0
DUK,108440.0
DELL,104150.0
IEP,94620.0
ADM,93701.0
JELD,-92106.0
LLY,91621.0
BJ,-86342.0
LNW,85610.0
TSLA,84811.0
DESP,-84462.0
ACCO,-81323.0
MA,79663.0
D,76926.0
SPG,76870.0
MRK,76213.0
BWA,74718.0
DVA,-71677.0
TNL,-71391.0
QRVO,70068.0
BSIG,-67295.0
LEA,64868.0
HUM,64142.0
GE,62736.0
CDNA,-61596.0
UNH,59178.0
GDDY,58268.0
CALM,-55165.0
ASC,-51155.0
CNX,-49759.99999999999
KMT,-48736.99999999998
WU,-47705.0
SMLR,-46451.0
AMT,40924.0
OMI,-40266.0
ALV,40078.0
NTGR,-39562.0
SUPN,-39257.0
AGX,-39095.0
WLY,-38526.0
DOOO,-37227.99999999999
GNK,-36954.99999999999
LOW,36267.0
CHX,35558.0
WEX,-35526.0
CPRX,-33013.0
HSTM,-32466.0
CPF,-32434.999999999996
CHH,-31088.999999999996
SPOT,30939.0
COLL,-29347.0
LPX,-29156.999999999996
MELI,-26756.0
BIIB,-25777.0
INGN,-24657.0
ABBV,24642.999999999996
VIRT,-24389.0
ELV,23697.0
MBUU,-23167.0
JLL,22741.0
UI,20522.0
JEF,-18454.0
NX,-18443.0
DXCM,-17975.0
EQR,17963.0
BBSI,-16948.0
LQDT,-16538.0
LYTS,-15877.0
EIG,-15659.999999999998
SPOK,-15333.999999999998
DD,13831.0
WIX,13594.0
ARM,-13278.999999999998
HALO,-12873.0
AYI,-12522.0
PRLB,-11822.0
ZIMV,-11228.0
TCBI,-10637.0
AGM,-9688.0
PRI,-9351.0
IDT,-9045.0
SHW,8360.0
AMWD,-8256.0
EPC,-7728.0
CVLG,-6604.0
FFIV,6319.0
MBIN,-6264.0
NMIH,-5998.999999999999
CASH,-5967.999999999998
HSII,-5121.0
COOP,-4845.0
ICFI,4225.999999999993
APP,3563.0
CB,3219.0
CRAI,-3165.0
CHCO,-2927.9999999999995
AMAL,-2564.0
NVO,-2027.999999999996
PINC,-1656.9999999999998
SXI,-1640.9999999999998
NTB,-1217.9999999999968
NXST,-1051.0
ASML,842.0
AMG,-814.0
EPAC,-520.9999999999999
ATEN,-421.0000000000002
QGEN,412.0
RACE,-320.0
SKY,230.9999999999803
NLY,0.9999999999999998
